popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
32,0.0874,0.715,189818,0.788,0.0,0.195,-4.271,0.066,110.041,0.372,1
66,0.613,0.481,187195,0.179,2.84e-05,0.145,-21.424,0.109,74.85,0.405,1
34,0.988,0.17,424750,0.0492,0.91,0.0986,-24.575,0.0399,71.926,0.0512,0
28,0.987,0.422,550827,0.14,0.91,0.053,-20.818,0.0359,106.62,0.174,0
65,0.0308,0.684,214254,0.526,0.0,0.306,-4.982,0.0335,91.812,0.495,1
26,0.849,0.19,581000,0.0226,4.47e-05,0.0617,-35.098,0.0378,79.178,0.0333,0
59,0.171,0.918,130889,0.634,0.0,0.0819,-5.176,0.364,135.082,0.932,1
28,0.985,0.249,288160,0.0552,0.91,0.0844,-22.744,0.0364,82.497,0.0393,0
64,0.759,0.667,174222,0.473,0.000354,0.117,-12.597,0.0502,134.933,0.69,1
27,0.919,0.244,227427,0.167,0.919,0.123,-16.996,0.0357,140.511,0.154,0
58,0.642,0.35,258812,0.149,0.0,0.109,-12.196,0.0334,83.862,0.189,0
77,0.0217,0.708,189507,0.454,0.0,0.073,-7.07,0.0395,110.963,0.24,1
59,0.177,0.885,137787,0.567,4.43e-06,0.081,-8.56,0.156,116.028,0.522,1
36,0.932,0.316,247973,0.279,0.0,0.24,-11.009,0.0301,103.373,0.254,0
84,0.018,0.573,225280,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876,1
68,0.118,0.792,278601,0.686,0.0,0.188,-5.599,0.0537,142.994,0.47,1
0,0.905,0.44,193387,0.131,0.0,0.355,-28.862,0.341,134.283,0.0888,0
40,0.994,0.314,88573,0.209,0.902,0.0873,-26.784,0.0453,127.999,0.75,0
32,0.893,0.237,489533,0.138,0.162,0.122,-18.672,0.0407,112.949,0.108,0
30,0.994,0.368,233600,0.00726,0.908,0.0747,-30.27,0.051,72.462,0.192,0
72,0.285,0.684,159011,0.905,0.0,0.525,-3.187,0.0765,95.985,0.492,1
42,0.000272,0.45,214573,0.969,0.00218,0.11,-5.608,0.0642,160.044,0.583,0
34,0.976,0.343,126280,0.0669,0.954,0.124,-27.986,0.0502,91.273,0.575,0
51,0.947,0.101,208587,0.0241,0.847,0.0693,-30.172,0.0485,87.14,0.0329,0
63,0.692,0.706,217284,0.695,0.0,0.13,-2.922,0.0316,149.043,0.885,1
44,0.993,0.394,339235,0.026,0.873,0.0765,-25.451,0.0462,67.38,0.0412,0
66,0.239,0.763,239147,0.387,0.00747,0.13,-8.643,0.0278,109.957,0.273,1
47,0.0417,0.479,279086,0.939,3.66e-06,0.323,-3.826,0.059,93.047,0.547,0
35,0.957,0.0621,861467,0.0217,0.852,0.0884,-26.478,0.046,70.364,0.0342,0
77,0.0714,0.763,229640,0.807,0.28,0.348,-3.714,0.035,103.038,0.559,1
28,0.984,0.48,233128,0.0156,0.955,0.117,-30.108,0.0401,109.293,0.308,0
27,0.827,0.531,165560,0.0426,0.107,0.127,-24.243,0.106,90.934,0.232,0
79,0.559,0.716,224013,0.474,0.0,0.135,-6.714,0.052,77.811,0.302,1
69,0.0281,0.661,207925,0.759,0.0,0.128,-3.247,0.0326,139.922,0.466,1
59,0.0175,0.571,255493,0.784,0.0,0.19,-6.396,0.0352,105.973,0.462,1
0,0.987,0.218,208440,0.166,0.171,0.709,-26.131,0.055,123.257,0.0613,0
0,0.974,0.528,214096,0.188,0.959,0.143,-16.671,0.0557,126.705,0.868,0
31,0.987,0.339,454813,0.149,0.902,0.099,-17.618,0.0362,143.169,0.0377,0
45,0.99,0.307,310000,0.0595,0.883,0.368,-26.442,0.0365,72.898,0.0394,0
49,0.967,0.215,246733,0.0298,0.887,0.0865,-23.417,0.0424,104.87,0.0667,0
35,0.000245,0.407,145487,0.708,0.673,0.0849,-5.313,0.0635,112.869,0.464,0
37,0.972,0.091,206027,0.0619,0.912,0.105,-23.247,0.0439,86.93,0.0364,0
42,0.975,0.273,175000,0.00684,0.91,0.0572,-36.252,0.0409,108.076,0.0447,0
0,0.952,0.39,325627,0.163,0.0,0.169,-21.063,0.0635,90.286,0.312,0
42,7.73e-05,0.422,287267,0.879,0.0484,0.329,-5.238,0.101,180.05,0.196,0
76,0.409,0.585,249450,0.709,0.0,0.183,-6.072,0.319,111.913,0.21,1
33,0.993,0.185,175827,0.00785,0.827,0.0753,-28.045,0.0435,75.67,0.0365,0
78,0.167,0.743,326933,0.347,0.00951,0.103,-11.174,0.121,160.143,0.572,1
0,0.971,0.237,281813,0.14,0.000158,0.0981,-19.905,0.0514,86.22,0.0445,0
70,0.148,0.782,223547,0.589,0.0,0.164,-4.827,0.189,90.438,0.869,1
44,0.977,0.156,375760,0.0392,0.0195,0.137,-24.076,0.0539,59.726,0.0339,0
61,0.00308,0.651,213413,0.889,0.0,0.417,-5.236,0.0694,107.009,0.813,1
72,0.145,0.782,129733,0.531,0.0501,0.238,-6.636,0.168,148.046,0.247,1
0,0.966,0.261,522533,0.318,7.2e-06,0.673,-15.52,0.0718,97.761,0.0889,0
61,0.716,0.64,213250,0.582,0.00117,0.328,-9.529,0.041,100.024,0.085,1
65,0.075,0.676,255333,0.512,0.0,0.0805,-4.18,0.0286,116.69,0.333,1
29,0.973,0.214,229400,0.213,0.203,0.111,-14.713,0.0377,93.616,0.0759,0
73,0.199,0.417,222533,0.673,0.0,0.128,-7.719,0.0497,108.994,0.314,1
34,0.963,0.105,786000,0.106,0.861,0.0816,-18.506,0.0361,89.174,0.0371,0
27,0.000114,0.495,220924,0.921,1.76e-05,0.11,-6.676,0.0587,119.995,0.195,0
70,0.393,0.683,290791,0.695,0.00124,0.124,-6.798,0.0574,135.337,0.406,1
57,0.456,0.479,227755,0.711,0.0,0.215,-4.977,0.236,79.54,0.347,1
61,0.0684,0.721,192547,0.675,0.000671,0.0546,-6.465,0.0399,98.021,0.439,1
42,0.96,0.163,132800,0.0383,0.948,0.288,-29.085,0.0423,64.649,0.0323,0
70,0.0655,0.704,177520,0.636,0.0,0.579,-6.652,0.059,121.96,0.55,1
32,0.907,0.19,391000,0.0333,0.175,0.28,-27.128,0.0513,121.862,0.0533,0
29,0.977,0.386,397867,0.154,5.88e-05,0.263,-19.571,0.0811,130.569,0.15,0
38,0.986,0.141,323000,0.0414,0.873,0.107,-28.163,0.0476,91.276,0.0634,0
39,0.931,0.364,115240,0.349,0.94,0.11,-13.279,0.0321,65.427,0.0891,0
63,0.000855,0.7,255787,0.721,0.00112,0.257,-7.296,0.0447,100.003,0.0378,1
35,0.517,0.287,252373,0.508,0.843,0.132,-7.749,0.0384,158.241,0.186,0
26,0.856,0.491,272373,0.191,0.447,0.129,-17.078,0.0377,99.427,0.364,0
65,0.109,0.624,213987,0.696,0.0,0.132,-6.006,0.0469,82.001,0.392,1
17,0.965,0.276,470983,0.0326,0.000117,0.0756,-26.634,0.0416,101.331,0.205,0
37,0.945,0.182,291800,0.0318,0.0513,0.0967,-25.575,0.0416,70.237,0.102,0
63,0.0791,0.563,209924,0.58,0.0,0.085,-4.869,0.0459,132.854,0.26,1
31,0.996,0.41,113613,0.00681,0.911,0.143,-32.069,0.0504,112.761,0.213,0
75,0.263,0.653,210200,0.609,0.00101,0.233,-7.519,0.037,95.982,0.482,1
71,0.0287,0.613,204664,0.681,0.0,0.126,-3.089,0.0778,97.621,0.619,1
70,0.0454,0.522,193569,0.833,0.0,0.127,-3.715,0.0575,180.009,0.296,1
2,0.981,0.334,100360,0.0516,0.0,0.154,-24.089,0.0649,85.753,0.0783,0
5,0.965,0.258,169867,0.03,0.292,0.14,-29.715,0.0347,74.324,0.0772,0
27,0.92,0.55,195907,0.139,0.924,0.111,-26.115,0.0389,107.667,0.722,0
64,0.0551,0.723,220067,0.648,3.61e-05,0.298,-6.522,0.0426,151.035,0.369,1
71,0.956,0.447,240791,0.206,4.56e-06,0.107,-11.75,0.0519,66.734,0.327,1
67,0.104,0.769,252053,0.96,0.0,0.0822,-4.441,0.208,89.982,0.591,1
37,0.985,0.319,288920,0.0729,0.00242,0.0915,-21.63,0.0583,85.134,0.0885,0
82,0.044,0.665,203881,0.585,0.0,0.0789,-5.077,0.366,158.953,0.658,1
68,0.129,0.648,230693,0.718,0.00156,0.112,-7.765,0.0298,96.017,0.785,1
65,0.499,0.748,180147,0.496,0.0,0.194,-4.949,0.0449,144.903,0.966,1
62,0.0263,0.638,218093,0.831,0.0,0.0491,-6.812,0.081,127.975,0.388,1
47,6.38e-06,0.215,345573,0.946,0.137,0.155,-6.221,0.0776,187.748,0.443,0
34,0.922,0.432,427693,0.31,0.942,0.048,-14.667,0.0401,137.383,0.404,0
34,0.0374,0.771,208525,0.776,0.0343,0.0972,-6.161,0.0347,122.007,0.687,1
36,0.994,0.253,274560,0.018,0.906,0.0531,-24.21,0.0448,131.693,0.0615,0
49,0.197,0.292,205333,0.567,0.852,0.0947,-9.487,0.0316,186.405,0.156,0
63,0.893,0.581,237973,0.4,0.576,0.161,-8.739,0.0291,112.331,0.433,1
76,0.0184,0.839,242520,0.705,1.77e-05,0.102,-5.194,0.0445,119.954,0.575,1
35,0.994,0.606,188000,0.00367,0.887,0.0737,-30.117,0.0892,130.925,0.0551,0
60,0.76,0.649,219413,0.699,0.00474,0.208,-5.531,0.0846,97.967,0.309,1
75,0.226,0.88,182023,0.335,0.0,0.107,-8.742,0.297,140.061,0.213,1
58,0.00368,0.597,225867,0.762,0.00117,0.325,-4.431,0.0302,126.325,0.794,1
61,0.223,0.953,144407,0.335,1.28e-05,0.113,-11.377,0.479,118.006,0.274,1
33,0.975,0.566,262427,0.168,0.784,0.125,-21.388,0.0381,139.882,0.568,0
62,0.00025,0.56,221000,0.901,0.134,0.299,-4.481,0.032,132.009,0.807,1
34,0.966,0.339,369400,0.137,0.774,0.11,-18.965,0.0422,139.42,0.194,0
71,0.0805,0.705,138872,0.816,0.0,0.476,-7.046,0.32,94.211,0.929,1
30,0.802,0.352,562440,0.194,0.329,0.0895,-20.636,0.0497,144.823,0.241,0
32,0.856,0.111,529840,0.0458,0.863,0.0811,-25.609,0.0449,85.125,0.0338,0
26,0.976,0.355,420013,0.148,0.876,0.0913,-21.079,0.0445,120.704,0.167,0
38,0.913,0.282,175200,0.317,0.759,0.156,-18.784,0.0392,103.637,0.394,0
36,0.968,0.205,170000,0.14,0.945,0.0987,-18.144,0.0497,137.708,0.306,0
30,0.996,0.332,406227,0.008,0.902,0.108,-37.226,0.055,130.707,0.177,0
0,0.991,0.148,377507,0.00261,0.918,0.111,-36.152,0.0367,68.931,0.0762,0
5,0.991,0.457,414133,0.00902,0.793,0.0688,-21.832,0.106,66.623,0.0389,0
